category;text_ru;text_kk;text_en;exposure_time;answer_time;correct_answer_ru;correct_answer_kk;correct_answer_en;wrong_1_ru;wrong_1_kk;wrong_1_en;wrong_2_ru;wrong_2_kk;wrong_2_en;wrong_3_ru;wrong_3_kk;wrong_3_en;image_filename;image_prompt
Multi_table;Сколько будет 3 * 8?;3 * 8 қанша болады?;How much is 3 * 8?;0;15;24;24;24;25;25;25;27;27;27;21;21;21;;
Multi_table;Сколько будет 3 * 9?;3 * 9 қанша болады?;How much is 3 * 9?;0;15;27;27;27;36;36;36;26;26;26;18;18;18;;
Multi_table;Сколько будет 4 * 2?;4 * 2 қанша болады?;How much is 4 * 2?;0;15;8;8;8;7;7;7;12;12;12;4;4;4;;
Multi_table;Сколько будет 4 * 3?;4 * 3 қанша болады?;How much is 4 * 3?;0;15;12;12;12;15;15;15;8;8;8;13;13;13;;
Multi_table;Сколько будет 4 * 4?;4 * 4 қанша болады?;How much is 4 * 4?;0;15;16;16;16;12;12;12;20;20;20;15;15;15;;
Multi_table;Сколько будет 4 * 5?;4 * 5 қанша болады?;How much is 4 * 5?;0;15;20;20;20;10;10;10;19;19;19;15;15;15;;
Multi_table;Сколько будет 4 * 6?;4 * 6 қанша болады?;How much is 4 * 6?;0;15;24;24;24;30;30;30;28;28;28;20;20;20;;
Multi_table;Сколько будет 4 * 7?;4 * 7 қанша болады?;How much is 4 * 7?;0;15;28;28;28;32;32;32;29;29;29;21;21;21;;
Multi_table;Сколько будет 4 * 8?;4 * 8 қанша болады?;How much is 4 * 8?;0;15;32;32;32;36;36;36;28;28;28;24;24;24;;
Multi_table;Сколько будет 4 * 9?;4 * 9 қанша болады?;How much is 4 * 9?;0;15;36;36;36;32;32;32;45;45;45;40;40;40;;
Multi_table;Сколько будет 5 * 2?;5 * 2 қанша болады?;How much is 5 * 2?;0;15;10;10;10;15;15;15;11;11;11;20;20;20;;
Multi_table;Сколько будет 5 * 3?;5 * 3 қанша болады?;How much is 5 * 3?;0;15;15;15;15;14;14;14;10;10;10;18;18;18;;
Multi_table;Сколько будет 5 * 4?;5 * 4 қанша болады?;How much is 5 * 4?;0;15;20;20;20;25;25;25;19;19;19;24;24;24;;
Multi_table;Сколько будет 5 * 5?;5 * 5 қанша болады?;How much is 5 * 5?;0;15;25;25;25;20;20;20;30;30;30;26;26;26;;
Multi_table;Сколько будет 5 * 6?;5 * 6 қанша болады?;How much is 5 * 6?;0;15;30;30;30;40;40;40;20;20;20;29;29;29;;
Multi_table;Сколько будет 5 * 7?;5 * 7 қанша болады?;How much is 5 * 7?;0;15;35;35;35;28;28;28;30;30;30;34;34;34;;
Multi_table;Сколько будет 5 * 8?;5 * 8 қанша болады?;How much is 5 * 8?;0;15;40;40;40;48;48;48;32;32;32;41;41;41;;
Multi_table;Сколько будет 5 * 9?;5 * 9 қанша болады?;How much is 5 * 9?;0;15;45;45;45;40;40;40;54;54;54;36;36;36;;
Multi_table;Сколько будет 6 * 2?;6 * 2 қанша болады?;How much is 6 * 2?;0;15;12;12;12;11;11;11;10;10;10;18;18;18;;
Multi_table;Сколько будет 6 * 3?;6 * 3 қанша болады?;How much is 6 * 3?;0;15;18;18;18;24;24;24;17;17;17;15;15;15;;
Multi_table;Сколько будет 6 * 4?;6 * 4 қанша болады?;How much is 6 * 4?;0;15;24;24;24;30;30;30;20;20;20;18;18;18;;
Multi_table;Сколько будет 6 * 5?;6 * 5 қанша болады?;How much is 6 * 5?;0;15;30;30;30;36;36;36;25;25;25;31;31;31;;
Multi_table;Сколько будет 6 * 6?;6 * 6 қанша болады?;How much is 6 * 6?;0;15;36;36;36;42;42;42;37;37;37;30;30;30;;
Multi_table;Сколько будет 6 * 7?;6 * 7 қанша болады?;How much is 6 * 7?;0;15;42;42;42;43;43;43;35;35;35;49;49;49;;
Multi_table;Сколько будет 6 * 8?;6 * 8 қанша болады?;How much is 6 * 8?;0;15;48;48;48;42;42;42;56;56;56;47;47;47;;
Multi_table;Сколько будет 6 * 9?;6 * 9 қанша болады?;How much is 6 * 9?;0;15;54;54;54;53;53;53;48;48;48;63;63;63;;
Multi_table;Сколько будет 7 * 2?;7 * 2 қанша болады?;How much is 7 * 2?;0;15;14;14;14;12;12;12;16;16;16;15;15;15;;
Multi_table;Сколько будет 7 * 3?;7 * 3 қанша болады?;How much is 7 * 3?;0;15;21;21;21;24;24;24;18;18;18;20;20;20;;
Multi_table;Сколько будет 7 * 4?;7 * 4 қанша болады?;How much is 7 * 4?;0;15;28;28;28;32;32;32;24;24;24;21;21;21;;
Multi_table;Сколько будет 7 * 5?;7 * 5 қанша болады?;How much is 7 * 5?;0;15;35;35;35;36;36;36;30;30;30;34;34;34;;
Multi_table;Сколько будет 7 * 6?;7 * 6 қанша болады?;How much is 7 * 6?;0;15;42;42;42;35;35;35;48;48;48;49;49;49;;
Multi_table;Сколько будет 7 * 7?;7 * 7 қанша болады?;How much is 7 * 7?;0;15;49;49;49;48;48;48;50;50;50;56;56;56;;
Multi_table;Сколько будет 7 * 8?;7 * 8 қанша болады?;How much is 7 * 8?;0;15;56;56;56;48;48;48;63;63;63;55;55;55;;
Multi_table;Сколько будет 7 * 9?;7 * 9 қанша болады?;How much is 7 * 9?;0;15;63;63;63;62;62;62;54;54;54;72;72;72;;
Multi_table;Сколько будет 8 * 2?;8 * 2 қанша болады?;How much is 8 * 2?;0;15;16;16;16;14;14;14;17;17;17;18;18;18;;
Multi_table;Сколько будет 8 * 3?;8 * 3 қанша болады?;How much is 8 * 3?;0;15;24;24;24;32;32;32;27;27;27;25;25;25;;
Multi_table;Сколько будет 8 * 4?;8 * 4 қанша болады?;How much is 8 * 4?;0;15;32;32;32;28;28;28;33;33;33;40;40;40;;
Multi_table;Сколько будет 8 * 5?;8 * 5 қанша болады?;How much is 8 * 5?;0;15;40;40;40;50;50;50;48;48;48;30;30;30;;
Multi_table;Сколько будет 8 * 6?;8 * 6 қанша болады?;How much is 8 * 6?;0;15;48;48;48;56;56;56;40;40;40;42;42;42;;
Multi_table;Сколько будет 8 * 7?;8 * 7 қанша болады?;How much is 8 * 7?;0;15;56;56;56;48;48;48;64;64;64;49;49;49;;
Multi_table;Сколько будет 8 * 8?;8 * 8 қанша болады?;How much is 8 * 8?;0;15;64;64;64;65;65;65;63;63;63;72;72;72;;
Multi_table;Сколько будет 8 * 9?;8 * 9 қанша болады?;How much is 8 * 9?;0;15;72;72;72;64;64;64;80;80;80;81;81;81;;
Multi_table;Сколько будет 9 * 2?;9 * 2 қанша болады?;How much is 9 * 2?;0;15;18;18;18;19;19;19;16;16;16;20;20;20;;
Multi_table;Сколько будет 9 * 3?;9 * 3 қанша болады?;How much is 9 * 3?;0;15;27;27;27;28;28;28;26;26;26;30;30;30;;
Multi_table;Сколько будет 9 * 4?;9 * 4 қанша болады?;How much is 9 * 4?;0;15;36;36;36;45;45;45;37;37;37;40;40;40;;
Multi_table;Сколько будет 9 * 5?;9 * 5 қанша болады?;How much is 9 * 5?;0;15;45;45;45;50;50;50;54;54;54;36;36;36;;
Multi_table;Сколько будет 9 * 6?;9 * 6 қанша болады?;How much is 9 * 6?;0;15;54;54;54;60;60;60;53;53;53;48;48;48;;
Multi_table;Сколько будет 9 * 7?;9 * 7 қанша болады?;How much is 9 * 7?;0;15;63;63;63;70;70;70;56;56;56;64;64;64;;
Multi_table;Сколько будет 9 * 8?;9 * 8 қанша болады?;How much is 9 * 8?;0;15;72;72;72;81;81;81;63;63;63;80;80;80;;
Multi_table;Сколько будет 9 * 9?;9 * 9 қанша болады?;How much is 9 * 9?;0;15;81;81;81;80;80;80;72;72;72;82;82;82;;
