category;text_ru;text_kk;text_en;exposure_time;answer_time;correct_answer_ru;correct_answer_kk;correct_answer_en;wrong_1_ru;wrong_1_kk;wrong_1_en;wrong_2_ru;wrong_2_kk;wrong_2_en;wrong_3_ru;wrong_3_kk;wrong_3_en;image_filename;image_prompt
logic;Анна выше Веры, а Вера выше Гали. Кто самый низкий?;Анна Верадан ұзын, ал Вера Галядан ұзын. Ең аласасы кім?;Anna is taller than Vera, and Vera is taller than Galya. Who is the shortest?;0;45;Галя;Галя;Galya;Анна;Анна;Anna;Вера;Вера;Vera;Невозможно определить;Анықтау мүмкін емес;Impossible to determine;;
logic;Вставьте пропущенную букву: А, Г, Е, Ж, ...?;Қалып қойған әріпті табыңыз: А, Г, Е, Ж, ...?;Insert the missing letter (Cyrillic logic): А, Г, Е, Ж, ...?;0;60;З;З;З;И;И;И;К;К;К;Л;Л;Л;;
logic;Найдите лишнее слово: Стул, Диван, Стол, Телевизор, Кресло.;Артық сөзді табыңыз: Орындық, Диван, Үстел, Теледидар, Кресло.;Find the odd one out: Chair, Sofa, Table, TV, Armchair.;0;45;Телевизор;Теледидар;TV;Стул;Орындық;Chair;Диван;Диван;Sofa;Стол;Үстел;Table;;
logic;Какое число пропущено? 100, 90, 70, 40, ...?;Қандай сан жетіспейді? 100, 90, 70, 40, ...?;What number is missing? 100, 90, 70, 40, ...?;0;60;0;0;0;10;10;10;20;20;20;30;30;30;;
logic;Если позавчера был понедельник, то какой день будет послезавтра?;Егер алдыңғы күні дүйсенбі болса, бүрсігүні қандай күн болады?;If the day before yesterday was Monday, what day will it be the day after tomorrow?;0;60;Пятница;Жұма;Friday;Суббота;Сенбі;Saturday;Четверг;Бейсенбі;Thursday;Среда;Сәрсенбі;Wednesday;;
logic;Сколько месяцев в году имеют 28 дней?;Бір жылда қанша айда 28 күн бар?;How many months in a year have 28 days?;0;45;Все 12;Барлық 12;All 12;Только 1;Тек 1;Only 1;Ни одного;Ешқайсысы;None;Зависит от года;Жылға байланысты;Depends on the year;;
logic;Собака - это Млекопитающее. Змея - это...?;Ит - бұл Сүтқоректі. Жылан - бұл...?;Dog is a Mammal. Snake is a...?;0;45;Рептилия;Бауырымен жорғалаушы;Reptile;Амфибия;Қосмекенді;Amphibian;Млекопитающее;Сүтқоректі;Mammal;Насекомое;Жәндік;Insect;;
logic;Найдите антоним к слову "Храбрый";"Батыл" сөзіне антоним табыңыз;Find the antonym for "Brave";0;30;Трусливый;Қорқақ;Cowardly;Смелый;Ержүрек;Bold;Сильный;Күшті;Strong;Умный;Ақылды;Smart;;
logic;Мальчик идет в школу 30 минут. За сколько минут он дойдет до школы с другом?;Бала мектепке 30 минутта барады. Ол досымен бірге мектепке қанша минутта жетеді?;A boy walks to school in 30 minutes. How long will it take him to walk to school with a friend?;0;30;30 минут;30 минут;30 minutes;15 минут;15 минут;15 minutes;60 минут;60 минут;60 minutes;45 минут;45 минут;45 minutes;;
logic;Какой фигуры не хватает в матрице? (См. картинку);Матрицада қандай пішін жетіспейді? (Суретті қараңыз);Which figure is missing from the matrix? (See image);0;60;Круг;Дөңгелек;Circle;Квадрат;Шаршы;Square;Треугольник;Үшбұрыш;Triangle;Звезда;Жұлдыз;Star;logic_matrix_1.jpg;Logic matrix 3x3 missing circle
logic;Выберите подходящий фрагмент пазла.;Пазлдың сәйкес бөлігін таңдаңыз.;Choose the matching puzzle piece.;0;60;Фрагмент Б;Б бөлігі;Piece B;Фрагмент А;А бөлігі;Piece A;Фрагмент В;В бөлігі;Piece C;Фрагмент Г;Г бөлігі;Piece D;logic_puzzle_1.jpg;Puzzle piece selection
logic;Какое время показывают часы на картинке?;Суреттегі сағат қанша уақытты көрсетіп тұр?;What time does the clock show?;0;45;15:00;15:00;3:00 PM;12:15;12:15;12:15;03:45;03:45;3:45;09:30;09:30;9:30;logic_clock_1.jpg;Clock showing 3pm
logic;Какой кубик получится из развертки?;Жазбадан қандай текше (кубик) шығады?;Which cube can be formed from the layout?;0;75;Куб 2;2-ші текше;Cube 2;Куб 1;1-ші текше;Cube 1;Куб 3;3-ші текше;Cube 3;Куб 4;4-ші текше;Cube 4;logic_cube_2.jpg;Cube layout assembly
math;Чему равен X: 2x + 4 = 14?;X неге тең: 2x + 4 = 14?;What is X: 2x + 4 = 14?;0;60;5;5;5;7;7;7;10;10;10;4;4;4;;
math;Сколько будет 20% от 500?;500-дің 20%-ы қанша болады?;What is 20% of 500?;0;60;100;100;100;50;50;50;25;25;25;200;200;200;;
math;Поезд едет со скоростью 80 км/ч. Сколько он проедет за 3.5 часа?;Пойыз 80 км/сағ жылдамдықпен жүреді. Ол 3.5 сағатта қанша жол жүреді?;A train travels at 80 km/h. How far will it travel in 3.5 hours?;0;75;280 км;280 км;280 km;240 км;240 км;240 km;320 км;320 км;320 km;260 км;260 км;260 km;;
math;3 курицы за 3 дня несут 3 яйца. Сколько яиц снесут 12 куриц за 12 дней?;3 тауық 3 күнде 3 жұмыртқа табады. 12 тауық 12 күнде қанша жұмыртқа табады?;3 hens lay 3 eggs in 3 days. How many eggs will 12 hens lay in 12 days?;0;90;48;48;48;12;12;12;36;36;36;24;24;24;;
math;Вычислите: (15 * 4) - 20 / 5?;Есептеңіз: (15 * 4) - 20 / 5?;Calculate: (15 * 4) - 20 / 5?;0;60;56;56;56;8;8;8;10;10;10;50;50;50;;
math;Товар стоил 1000 тенге. Цену подняли на 10%, а потом снизили на 10%. Сколько он стоит сейчас?;Тауар 1000 теңге тұрды. Бағаны 10%-ға көтеріп, кейін 10%-ға түсірді. Қазір ол қанша тұрады?;An item cost 1000 tenge. The price was raised by 10%, then lowered by 10%. How much is it now?;0;90;990 тенге;990 теңге;990 tenge;1000 тенге;1000 теңге;1000 tenge;900 тенге;900 теңге;900 tenge;1100 тенге;1100 теңге;1100 tenge;;
math;Сколько будет 15% от 200?;200-дің 15%-ы қанша болады?;What is 15% of 200?;0;60;30;30;30;20;20;20;15;15;15;40;40;40;;
math;Если 5 машин делают 5 деталей за 5 минут, за сколько минут 100 машин сделают 100 деталей?;Егер 5 машина 5 бөлшекті 5 минутта жасаса, 100 машина 100 бөлшекті қанша минутта жасайды?;If 5 machines make 5 parts in 5 minutes, how many minutes does it take 100 machines to make 100 parts?;0;60;5 минут;5 минут;5 minutes;100 минут;100 минут;100 minutes;20 минут;20 минут;20 minutes;1 минута;1 минут;1 minute;;
math;Чему равна площадь прямоугольника со сторонами 8 см и 5 см?;Қабырғалары 8 см және 5 см болатын тіктөртбұрыштың ауданы неге тең?;What is the area of a rectangle with sides 8 cm and 5 cm?;0;45;40 кв.см;40 кв.см;40 sq.cm;13 кв.см;13 кв.см;13 sq.cm;26 кв.см;26 кв.см;26 sq.cm;80 кв.см;80 кв.см;80 sq.cm;;
math;Какое следующее простое число после 13?;13-тен кейінгі келесі жай сан қандай?;What is the next prime number after 13?;0;60;17;17;17;15;15;15;19;19;19;21;21;21;;
math;Переведите 1.5 часа в минуты.;1.5 сағатты минутқа айналдырыңыз.;Convert 1.5 hours to minutes.;0;30;90;90;90;60;60;60;100;100;100;150;150;150;;
math;Цена товара 200. Скидка 15%. Какова новая цена?;Тауар бағасы 200. Жеңілдік 15%. Жаңа баға қандай?;Item price is 200. Discount is 15%. What is the new price?;0;60;170;170;170;185;185;185;180;180;180;150;150;150;;
math;Решите: 1/2 + 1/4 = ?;Есептеңіз: 1/2 + 1/4 = ?;Solve: 1/2 + 1/4 = ?;0;60;3/4;3/4;3/4;2/6;2/6;2/6;1/8;1/8;1/8;1/3;1/3;1/3;;
math;Сколько градусов в прямом угле?;Тік бұрышта қанша градус бар?;How many degrees in a right angle?;0;30;90;90;90;180;180;180;45;45;45;360;360;360;;
math;Отец старше сына в 3 раза. Сыну 10 лет. Сколько лет отцу?;Әкесі ұлынан 3 есе үлкен. Ұлы 10 жаста. Әкесі неше жаста?;Father is 3 times older than his son. Son is 10. How old is father?;0;30;30;30;30;20;20;20;40;40;40;33;33;33;;
math;Какое число делится на 3 без остатка?;Қандай сан 3-ке қалдықсыз бөлінеді?;Which number is divisible by 3 without remainder?;0;45;27;27;27;14;14;14;16;16;16;25;25;25;;
math;Вычислите среднее арифметическое: 4, 6, 8.;Арифметикалық ортасын табыңыз: 4, 6, 8.;Calculate the arithmetic mean: 4, 6, 8.;0;45;6;6;6;5;5;5;7;7;7;9;9;9;;
math;Сколько секунд в одном часе?;Бір сағатта қанша секунд бар?;How many seconds are in one hour?;0;45;3600;3600;3600;60;60;60;360;360;360;1000;1000;1000;;
math;Сколько граней у куба?;Текшенің (кубтың) қанша жағы бар?;How many faces does a cube have?;0;45;6;6;6;4;4;4;8;8;8;12;12;12;;
math;Корень квадратный из 144?;144-тің квадрат түбірі неге тең?;Square root of 144?;0;45;12;12;12;14;14;14;11;11;11;13;13;13;;
math;5 в кубе (5^3) равно...?;5-тің кубы (5^3) неге тең...?;5 cubed (5^3) equals...?;0;60;125;125;125;25;25;25;15;15;15;150;150;150;;
math;Если 1 кг яблок стоит 500, сколько стоят 3.5 кг?;Егер 1 кг алма 500 тұрса, 3.5 кг қанша тұрады?;If 1 kg of apples costs 500, how much does 3.5 kg cost?;0;60;1750;1750;1750;1500;1500;1500;2000;2000;2000;1850;1850;1850;;
math;Чему равна длина окружности (С) при диаметре (d) = 10? (π=3.14);Диаметрі (d) = 10 болғанда шеңбердің ұзындығы (С) неге тең? (π=3.14);What is the circumference (C) if diameter (d) = 10? (π=3.14);0;75;31.4;31.4;31.4;15.7;15.7;15.7;62.8;62.8;62.8;314;314;314;;
spatial;Какая фигура получится, если сложить этот куб? (См. картинку);Егер мына текшені (кубты) жинаса, қандай пішін шығады? (Суретті қараңыз);What shape results from folding this cube? (See image);0;60;Фигура А;А пішіні;Figure A;Фигура Б;Б пішіні;Figure B;Фигура В;В пішіні;Figure C;Фигура Г;Г пішіні;Figure D;spatial_cube_1.jpg;Cube layout assembly
spatial;Найдите лишнюю фигуру в ряду.;Қатардағы артық пішінді табыңыз.;Find the odd figure in the row.;0;45;Фигура 3;3-ші пішін;Figure 3;Фигура 1;1-ші пішін;Figure 1;Фигура 2;2-ші пішін;Figure 2;Фигура 4;4-ші пішін;Figure 4;spatial_odd_1.jpg;Odd one out spatial
spatial;Какая фигура является зеркальным отражением?;Қандай пішін айнадағы шағылыс болып табылады?;Which figure is the mirror reflection?;0;45;Фигура B;B пішіні;Figure B;Фигура A;A пішіні;Figure A;Фигура C;C пішіні;Figure C;Фигура D;D пішіні;Figure D;spatial_mirror_1.jpg;Mirror image test
spatial;Сколько кубиков на картинке?;Суретте қанша текше (кубик) бар?;How many blocks are in the picture?;0;60;12;12;12;10;10;10;14;14;14;11;11;11;spatial_blocks_1.jpg;Block counting
spatial;Какая линия длиннее?;Қай сызық ұзынырақ?;Which line is longer?;0;30;Одинаковые;Бірдей;Same length;Верхняя;Жоғарғы;Top one;Нижняя;Төменгі;Bottom one;Невозможно определить;Анықтау мүмкін емес;Impossible to determine;spatial_illusion_1.jpg;Muller-Lyer illusion
spatial;Найдите тень от этого объекта.;Бұл нысанның көлеңкесін табыңыз.;Find the shadow of this object.;0;45;Тень 4;4-ші көлеңке;Shadow 4;Тень 1;1-ші көлеңке;Shadow 1;Тень 2;2-ші көлеңке;Shadow 2;Тень 3;3-ші көлеңке;Shadow 3;spatial_shadow_1.jpg;Object shadow matching
spatial;Какой фигуры не хватает в ряду?;Қатарда қандай пішін жетіспейді?;Which figure is missing in the row?;0;60;Шестиугольник;Алтыбұрыш;Hexagon;Круг;Дөңгелек;Circle;Квадрат;Шаршы;Square;Треугольник;Үшбұрыш;Triangle;spatial_sequence_1.jpg;Shape sequence
spatial;Совместите фигуру и её вырез.;Пішінді және оның ойығын сәйкестендіріңіз.;Match the figure to its cutout.;0;45;Вырез А;А ойығы;Cutout A;Вырез Б;Б ойығы;Cutout B;Вырез В;В ойығы;Cutout C;Вырез Г;Г ойығы;Cutout D;spatial_fit_1.jpg;Shape fit puzzle
spatial;В какую сторону крутится шестеренка А, если шестеренка Б крутится вправо?;Егер Б тісті дөңгелегі оңға айналса, А тісті дөңгелегі қай жаққа айналады?;Which way does gear A turn if gear B turns right?;0;60;Влево;Солға;Left;Вправо;Оңға;Right;Стоит на месте;Бір орында тұрады;Stays still;Вниз;Төмен;Down;spatial_gears_1.jpg;Gears rotation
spatial;Какой куб НЕЛЬЗЯ собрать из этой развертки?;Бұл жазбадан қандай текшені құрастыруға БОЛМАЙДЫ?;Which cube CANNOT be formed from this layout?;0;90;Куб 3;3-ші текше;Cube 3;Куб 1;1-ші текше;Cube 1;Куб 2;2-ші текше;Cube 2;Куб 4;4-ші текше;Cube 4;spatial_cube_bad.jpg;Impossible cube layout
memory;Запомните предметы на изображении.;Суреттегі заттарды есте сақтаңыз.;Memorize the items in the image.;10;30;Зонтик;Қолшатыр;Umbrella;Ключ;Кілт;Key;Яблоко;Алма;Apple;Очки;Көзілдірік;Glasses;memory_items_1.jpg;Items on table
memory;Какой цвет был у автомобиля на картинке?;Суреттегі автокөліктің түсі қандай болды?;What color was the car in the picture?;10;30;Красный;Қызыл;Red;Синий;Көк;Blue;Зеленый;Жасыл;Green;Черный;Қара;Black;memory_car_1.jpg;Red car memory
memory;Сколько окон было в здании?;Ғимаратта қанша терезе болды?;How many windows were in the building?;15;30;5;5;5;4;4;4;6;6;6;3;3;3;memory_building.jpg;Building windows count
memory;Какое время было на часах?;Сағат қаншаны көрсетіп тұрды?;What time was on the clock?;10;30;10:10;10:10;10:10;12:00;12:00;12:00;09:30;09:30;9:30;06:15;06:15;6:15;memory_watch.jpg;Clock time memory
memory;Какого цвета была шляпа у мужчины?;Ер адамның қалпағы қандай түсті болды?;What color was the man's hat?;15;30;Коричневая;Қоңыр;Brown;Черная;Қара;Black;Серая;Сұр;Grey;Синяя;Көк;Blue;memory_man.jpg;Man with hat memory
memory;Какие фрукты лежали в вазе?;Вазада қандай жемістер жатты?;Which fruits were in the bowl?;15;40;Яблоко, Груша, Банан;Алма, Алмұрт, Банан;Apple, Pear, Banana;Апельсин, Киви;Апельсин, Киви;Orange, Kiwi;Только яблоки;Тек алмалар;Only apples;Виноград и Слива;Жүзім және қара өрік;Grapes and Plum;memory_fruits.jpg;Fruit bowl memory
memory;Какой номер был на футболке игрока?;Ойыншының жейдесінде қандай нөмір болды?;What number was on the player's shirt?;10;30;10;10;10;7;7;7;23;23;23;9;9;9;memory_sport.jpg;Player number memory
memory;Что держала в руках девочка?;Қыз қолында не ұстап тұрды?;What was the girl holding?;10;30;Книгу;Кітап;Book;Куклу;Қуыршақ;Doll;Мяч;Доп;Ball;Цветок;Гүл;Flower;memory_girl.jpg;Girl holding object
memory;Запомните последовательность фигур.;Пішіндердің ретін есте сақтаңыз.;Memorize the sequence of shapes.;15;45;Круг, Квадрат, Треугольник, Звезда;Дөңгелек, Шаршы, Үшбұрыш, Жұлдыз;Circle, Square, Triangle, Star;Квадрат, Круг, Звезда, Треугольник;Шаршы, Дөңгелек, Жұлдыз, Үшбұрыш;Square, Circle, Star, Triangle;Звезда, Круг, Квадрат, Треугольник;Жұлдыз, Дөңгелек, Шаршы, Үшбұрыш;Star, Circle, Square, Triangle;Треугольник, Звезда, Круг, Квадрат;Үшбұрыш, Жұлдыз, Дөңгелек, Шаршы;Triangle, Star, Circle, Square;memory_shapes.jpg;Shape sequence memory
memory;Где находилась кошка?;Мысық қай жерде болды?;Where was the cat?;15;30;На диване;Диванда;On the sofa;На полу;Еденде;On the floor;На стуле;Орындықта;On the chair;На окне;Терезеде;On the window;memory_cat.jpg;Cat location memory
memory;Сколько машин было на перекрестке?;Қиылыста қанша көлік болды?;How many cars were at the intersection?;15;30;3;3;3;2;2;2;4;4;4;5;5;5;memory_traffic.jpg;Traffic count memory
memory;Какого предмета НЕ было на картинке?;Суретте қандай зат БОЛМАДЫ?;Which item was NOT in the picture?;15;45;Ножницы;Қайшы;Scissors;Карандаш;Қарындаш;Pencil;Ластик;Өшіргіш;Eraser;Линейка;Сызғыш;Ruler;memory_school.jpg;Missing item memory
memory;В какую сторону смотрела стрелка?;Нұсқар қай жаққа қарап тұрды?;Which way was the arrow pointing?;10;30;Вправо;Оңға;Right;Влево;Солға;Left;Вверх;Жоғары;Up;Вниз;Төмен;Down;memory_arrow.jpg;Arrow direction memory
