category;text_ru;text_kk;text_en;exposure_time;answer_time;correct_answer_ru;correct_answer_kk;correct_answer_en;wrong_1_ru;wrong_1_kk;wrong_1_en;wrong_2_ru;wrong_2_kk;wrong_2_en;wrong_3_ru;wrong_3_kk;wrong_3_en;image_filename;image_prompt
psychology;У вас возник конфликт приоритетов: две срочные задачи. Что делать?;Екі шұғыл тапсырма тұр. Не істейсіз?;Two urgent tasks conflict. What do you do?;0;45;Уточню у руководителя, какая задача важнее;Басшыдан қайсысы маңыздырақ екенін сұраймын;Ask manager which is priority;Попытаюсь сделать обе одновременно (мультизадачность);Екеуін бірге жасауға тырысамын;Try doing both at once;Сделаю ту, которая мне больше нравится;Маған ұнайтынын жасаймын;Do the one I like more;Брошу жребий;Пүшпек тастаймын;Flip a coin;;
psychology;Поставщик предлагает вам дорогой подарок за продление контракта. Ваши действия?;Жеткізуші келісімшарт үшін қымбат сыйлық ұсынды. Не істейсіз?;Supplier offers expensive gift for contract. Actions?;0;45;Откажусь и доложу о попытке подкупа;Бас тартып, пара беру әрекеті туралы хабарлаймын;Refuse and report bribery attempt;Возьму подарок, но решение приму честно;Сыйлықты аламын, бірақ шешімді адал қабылдаймын;Take gift, decide honestly;Возьму подарок и продлю контракт;Сыйлықты алып, келісімшартты созамын;Take gift and extend contract;Попрошу подарок деньгами;Сыйлықты ақшалай сұраймын;Ask for cash instead;;
psychology;Вы перегружены работой и чувствуете выгорание. Что сделаете?;Жұмыс көп, қажып кеттіңіз. Не істейсіз?;Overwhelmed and burning out. What do you do?;0;45;Обсужу с руководством приоритеты и нагрузку;Басшылықпен жүктеме мен басымдықтарды талқылаймын;Discuss priorities/load with manager;Буду терпеть до последнего, пока не сорвусь;Шыдамым таусылғанша шыдаймын;Endure until breakdown;Просто перестану выполнять часть задач;Тапсырмалардың бір бөлігін орындауды қоямын;Just stop doing some tasks;Уйду на больничный без предупреждения;Ескертусіз ауруханаға кетемін;Go on sick leave without warning;;
psychology;Руководство внедряет изменения, с которыми вы не согласны. Реакция?;Басшылық сіз келіспейтін өзгеріс енгізуде. Реакция?;Management brings changes you disagree with. Reaction?;0;45;Попробую понять причины и адаптироваться;Себебін түсініп, бейімделуге тырысамын;Try to understand and adapt;Буду открыто саботировать новые правила;Жаңа ережелерге ашық қарсылық көрсетемін;Openly sabotage new rules;Буду жаловаться коллегам в курилке;Әріптестеріме шағымданамын;Complain to colleagues;Уволюсь сразу же;Дереу жұмыстан шығамын;Quit immediately;;
psychology;Вы допустили ошибку, которая стоила компании денег. Ваши действия?;Компанияға шығын әкелген қате жібердіңіз. Не істейсіз?;Made mistake costing money. Actions?;0;45;Признаю вину и предложу план компенсации/исправления;Кінәмді мойындап, түзету жоспарын ұсынамын;Admit fault, propose fix plan;Попытаюсь скрыть ошибку;Қатені жасыруға тырысамын;Try to hide the mistake;Свалю вину на обстоятельства или программу;Жағдайға не бағдарламаға сілтеймін;Blame circumstances/software;Уволюсь до того, как это обнаружат;Бұл анықталғанша жұмыстан шығамын;Quit before discovery;;
psychology;Коллега просит вас "прикрыть" его отсутствие на работе. Что ответите?;Әріптесіңіз жоқтығын "жауып қоюды" өтінді. Не дейсіз?;Colleague asks to "cover" his absence. Answer?;0;45;Откажусь врать, посоветую взять отгул официально;Өтірік айтудан бас тартып, ресми сұрануға кеңес беремін;Refuse lying, advise official leave;Соглашусь, ведь мы друзья;Келісемін, өйткені біз доспыз;Agree, we are friends;Попрошу ответную услугу в будущем;Болашақта қарымта қызмет сұраймын;Ask for favor in return;Соглашусь, но потом расскажу боссу;Келісемін, бірақ кейін бастыққа айтамын;Agree but tell boss later;;
psychology;Критический сбой ПО остановил работу отдела. Ваши действия?;БҚ істен шығып, бөлім жұмысы тоқтады. Не істейсіз?;Critical software fail stopped work. Actions?;0;45;Предложу временное ручное решение проблемы;Уақытша қолмен шешу жолын ұсынамын;Propose manual workaround;Буду сидеть и ждать, пока починят;Оңдалғанша күтіп отырамын;Sit and wait for fix;Пойду пить кофе, раз работы нет;Жұмыс жоқ болса, кофе ішуге барамын;Go drink coffee since no work;Начну паниковать и всех дергать;Абыржып, барлығын мазалаймын;Panic and bother everyone;;
psychology;Новый сотрудник работает медленно и тормозит команду. Что делать?;Жаңа қызметкер баяу істеп, команданы тежеуде. Не істейсіз?;New hire is slow, slowing team. What do?;0;45;Предложу ему помощь и поделюсь лайфхаками;Оған көмек ұсынып, әдістеріммен бөлісемін;Offer help and share tips;Пожалуюсь руководителю, пусть увольняют;Басшыға шағымданамын, жұмыстан шығарсын;Complain to manager to fire him;Буду игнорировать его и делать свое;Оны елемей, өз ісімді жасаймын;Ignore him, do my job;Буду подгонять его криками;Айқайлап асықтырамын;Yell at him to hurry;;
psychology;Вам нужно представить отчет, но данные еще не готовы. Ваши действия?;Есеп беру керек, бірақ деректер дайын емес. Не істейсіз?;Need to report, data not ready. Actions?;0;45;Предупрежу заранее и назову реальный срок готовности;Алдын ала ескертып, нақты мерзімді айтамын;Warn in advance, give real eta;Придумаю примерные цифры;Шамамен сандарды ойдан шығарамын;Make up approximate numbers;Буду тянуть время и не отвечать на звонки;Уақыт созып, қоңырауларға жауап бермеймін;Stall and ignore calls;Скажу, что отправил, и это сбой почты;Жібердім, пошта істемей тұр деп айтамын;Say I sent it, mail glitch;;
psychology;Ваш руководитель неправ в техническом вопросе. Что сделаете?;Басшы техникалық сұрақта қателесті. Не істейсіз?;Manager is wrong on tech issue. What do?;0;45;Тактично обсужу это с ним наедине с аргументами;Оңашада дәлелдермен сыпайы талқылаймын;Discuss privately with arguments;Громко исправлю его при всех;Барлығының көзінше қатты түзетемін;Loudly correct him publicly;Промолчу, пусть ошибается;Үндемеймін, қателесе берсін;Stay silent, let him fail;Обсужу его некомпетентность с коллегами;Әріптестермен оның біліксіздігін талқылаймын;Discuss his incompetence with colleagues;;
